city,country,lon,lat,crime_index,temperature_2m_mean,suicide rates (per 100k pop)
Vaughan,Canada,-79.5268023,43.7941544,42.7,46.622353,10.3
Victoria,Canada,-123.3649533,48.4283182,38.05,50.472176,10.3
Windsor,Canada,-83.0373389,42.3167397,43.25,50.452183,10.3
Winnipeg,Canada,-97.1384584,49.8955367,58.93,36.745518,10.3
Santiago,Chile,-70.6504502,-33.4377756,59.8,60.08206,8.0
Beijing,China,116.3912972,39.9057136,32.44,54.698288,6.7
Guangzhou City,China,113.2592945,23.1301964,36.41,72.33241,6.7
Hong Kong,China,114.135572,22.381131,21.62,71.23477,6.7
Shanghai,China,121.4691024,31.2323437,33.41,63.02277,6.7
Shenzhen,China,114.0545429,22.5445741,31.86,72.95919,6.7
Bogota,Colombia,-74.0835643,4.6529539,65.42,55.576305,3.7
Cali,Colombia,-76.5329352,3.4520339,69.5,68.65338,3.7
Medellin,Colombia,-75.5752006,6.2433515,53.12,66.26648,3.7
San José,Costa Rica,-84.0795782,9.9325427,55.38,67.46677,7.6
City of Zagreb,Croatia,15.9772795,45.8130967,21.36,55.056698,11.0
Grad Rijeka,Croatia,14.442208,45.3267976,23.43,59.74867,11.0
Split,Croatia,16.4399659,43.5116383,33.62,61.785763,11.0
Havana,Cuba,-82.3589631,23.135305,31.2,78.42608,10.2
Limassol,Cyprus,33.0332657,34.6852901,32.05,68.2446,3.2
Nicosia,Cyprus,33.3638783,35.1746503,29.87,67.670135,3.2
Brno,Czechia,16.6113382,49.1922443,26.08,51.64182,9.5
Prague,Czechia,14.4212535,50.0874654,24.1,52.211506,9.5
Aalborg,Denmark,9.9215263,57.0462626,25.54,48.88536,7.6
Aarhus,Denmark,10.2134046,56.1496278,20.6,49.3439,7.6
Copenhagen,Denmark,12.5700724,55.6867243,26.67,49.31883,7.6
Santo Domingo,Dominican Republic,-69.942111,18.4801972,68.37,76.72033,5.1
Cuenca,Ecuador,-79.0041726,-2.8974072,41.36,55.97957,7.7
Guayaquil,Ecuador,-79.8868741,-2.1900563,70.59,75.74816,7.7
Quito,Ecuador,-78.5123274,-0.2201641,60.92,53.1225,7.7
Alexandria,Egypt,29.8951716,31.1991806,40.24,69.09394,3.4
Cairo,Egypt,31.2357257,30.0443879,49.68,72.95406,3.4
San Salvador,El Salvador,-89.1914249,13.6989939,69.79,74.622925,6.1
Tallinn,Estonia,24.7453688,59.4372155,23.59,44.58817,12.0
Tartu,Estonia,26.72245,58.3801207,20.7,44.221676,12.0
"Bahir Dar City, Amhara, Ethiopia",Ethiopia,37.39000433472914,11.591367600000002,47.15,67.91957,9.5
Helsinki,Finland,24.9427473,60.1674881,24.92,43.822056,13.4
Oulu,Finland,25.4716809,65.0118734,36.51,39.147,13.4
Tampere,Finland,23.7603118,61.4980214,21.86,42.740536,13.4
Bordeaux,France,-0.5800364,44.841225,48.39,59.311317,9.7
Grenoble,France,5.7357819,45.1875602,54.2,58.695007,9.7
Lille,France,3.0635282,50.6365654,54.33,53.56686,9.7
Lyon,France,4.8320114,45.7578137,51.29,57.634674,9.7
Marseille,France,5.3699525,43.2961743,62.51,62.42477,9.7
Montpellier,France,3.8767337,43.6112422,55.16,61.424683,9.7
Nantes,France,-1.5541362,47.2186371,65.7,57.31004,9.7
Nice,France,7.2683912,43.7009358,59.43,62.879677,9.7
Paris,France,2.3483915,48.8534951,56.02,55.560135,9.7
Rennes,France,-1.6800198,48.1113387,53.0,55.692696,9.7
Strasbourg,France,7.7507127,48.584614,37.93,54.426548,9.7
Toulouse,France,1.4442469,43.6044622,48.92,59.824455,9.7
Tbilisi,Georgia,44.8014495,41.6934591,25.16,56.765835,7.7
Berlin,Germany,13.3888599,52.5170365,42.24,51.775978,8.3
Bonn,Germany,7.10066,50.735851,40.43,54.278168,8.3
Bremen,Germany,8.8071646,53.0758196,41.52,51.441635,8.3
Cologne,Germany,6.959974,50.938361,42.65,53.936104,8.3
Dresden,Germany,13.7381437,51.0493286,30.63,52.409157,8.3
Dusseldorf,Germany,6.7763137,51.2254018,34.06,53.75122,8.3
Frankfurt,Germany,8.6820917,50.1106444,44.12,53.886555,8.3
Freiburg im Breisgau,Germany,7.8494005,47.9960901,31.57,54.59359,8.3
Hamburg,Germany,10.000654,53.550341,42.56,50.992973,8.3
Hanover,Germany,9.7385532,52.3744779,41.29,52.17978,8.3
Karlsruhe,Germany,8.4034195,49.0068705,38.09,54.871735,8.3
Leipzig,Germany,12.3747329,51.3406321,40.86,52.21448,8.3
Munich,Germany,11.5753822,48.1371079,18.66,50.737965,8.3
Nuremberg,Germany,11.077298,49.453872,33.48,52.051422,8.3
Stuttgart,Germany,9.1800132,48.7784485,30.71,53.26115,8.3
Accra,Ghana,-0.2012376,5.5571096,46.88,79.22487,10.5
Athens,Greece,23.7348324,37.9755648,56.42,64.46899,3.6
Thessaloniki,Greece,22.9352716,40.6403167,54.8,60.577606,3.6
Guatemala City,Guatemala,-90.5131361,14.6424667,62.65,64.94864,6.2
San Pedro Sula,Honduras,-88.0248937,15.5062156,80.87,77.84245,2.6
Budapest,Hungary,19.0401609,47.4978918,35.06,54.53644,11.8
Reykjavik,Iceland,-21.9422367,64.145981,23.02,40.32095,11.2
Ahmedabad,India,72.5797068,23.0216238,32.4,81.35969,12.9
Bengaluru,India,77.590082,12.9767936,54.81,72.67506,12.9
Chandigarh,India,76.7797143,30.7334421,43.46,74.45898,12.9
Chennai,India,80.270186,13.0836939,40.45,81.89478,12.9
Chinnavedampatti,India,76.9628425,11.0018115,39.53,77.290764,12.9
Ghaziabad,India,77.4120356,28.6711527,59.83,76.1457,12.9
Govanaki,India,75.7622963,15.9231076,25.07,78.277,12.9
Gurugram District,India,77.00270014657752,28.42826235,55.09,76.10557,12.9
Hyderabad,India,78.4740613,17.360589,43.87,78.54139,12.9
Indore,India,75.8681996,22.7203616,48.61,76.55441,12.9
Jaipur,India,75.8189817,26.9154576,35.52,76.69537,12.9
Kochi,India,76.2454436,9.9674277,41.21,79.27035,12.9
Kolkata,India,88.3638953,22.5726459,46.68,78.50037,12.9
Lucknow,India,80.9346001,26.8381,48.41,77.13838,12.9
Mumbai,India,72.878176,19.0785451,45.28,79.80242,12.9
Mysuru,India,76.6553609,12.3051828,48.85,74.02015,12.9
Nagpur,India,79.0820556,21.1498134,36.77,79.73183,12.9
Navi Mumbai,India,73.0198537,19.0308262,34.33,79.97179,12.9
New Delhi,India,77.1716954,28.6273928,59.15,76.27311,12.9
Noida,India,77.3272147,28.5706333,57.12,76.5336,12.9
Pune,India,73.8544541,18.521428,41.56,76.816414,12.9
Surat,India,72.8317058,21.2094892,35.55,80.46729,12.9
Thiruvananthapuram,India,76.947551,8.4882267,39.54,79.08978,12.9
Vadodara,India,73.1942567,22.2973142,32.92,81.18309,12.9
Visakhapatnam,India,83.3012842,17.7231276,37.8,80.597084,12.9
Sidodadi Ramunia,Indonesia,98.8894844,3.6057252,48.36,78.26449,2.6
Special Capital Region of Jakarta,Indonesia,106.8270488,-6.175247,53.3,79.827385,2.6
Tehran,Iran,51.3896004,35.6892523,55.72,65.38925,5.1
Baghdad,Iraq,44.3872213,33.3061701,59.13,77.795074,4.7
Cork,Ireland,-8.4654674,51.897077,36.03,52.436996,8.9
Drogheda,Ireland,-6.350403,53.716446,52.96,51.39905,8.9
Dublin,Ireland,-6.2605593,53.3493795,51.91,51.90337,8.9
Galway,Ireland,-9.0490601,53.2744122,29.19,51.59752,8.9
Limerick,Ireland,-8.6301239,52.661252,40.28,51.66022,8.9
Haifa,Israel,34.9983856,32.8191218,26.86,69.003075,5.2
Jerusalem,Israel,35.2257626,31.7788242,36.24,61.669075,5.2
Tel Aviv-Yafo,Israel,34.7818064,32.0852997,26.62,68.32117,5.2
Bari,Italy,16.8620293,41.1257843,52.15,63.89253,4.3
Bologna,Italy,11.3426327,44.4938203,46.62,59.466103,4.3
Cagliari,Italy,9.113311,39.2171994,36.37,66.65418,4.3
Catania,Italy,15.0873718,37.5023612,63.51,66.16022,4.3
Florence,Italy,11.2555757,43.7698712,40.23,60.770252,4.3
Genoa,Italy,8.9338624,44.40726,42.51,62.931957,4.3
Milan,Italy,9.1896346,45.4641943,46.84,58.486935,4.3
Naples,Italy,14.2487679,40.8358846,59.96,63.75219,4.3
Palermo,Italy,13.3524434,38.1112268,46.59,66.13015,4.3
Rome,Italy,12.4829321,41.8933203,53.11,63.041397,4.3
Trieste,Italy,13.7772781,45.6496485,26.17,59.592197,4.3
Turin,Italy,7.6824892,45.0677551,51.28,56.765667,4.3
Kingston,Jamaica,-76.7928128,17.9712148,71.44,63.254612,2.3
Chiyoda,Japan,139.75391,35.695126,23.79,59.790165,12.2
Osaka,Japan,135.5014539,34.6937569,32.35,60.61989,12.2
Amman,Jordan,35.9239625,31.9515694,38.82,64.06354,2.0
Almaty,Kazakhstan,76.9457275,43.2363924,64.17,51.284176,18.1
Astana,Kazakhstan,71.4306682,51.1282205,33.13,40.075665,18.1
Nairobi,Kenya,36.8172449,-1.2832533,59.03,65.15915,11.0
Kuwait City,Kuwait,47.9734174,29.3796532,30.55,80.886314,2.7
Riga,Latvia,24.1051846,56.9493977,37.91,45.903397,16.1
Beirut,Lebanon,35.47843,33.8959203,46.67,69.52937,2.8
Tripoli,Libya,13.1777923,32.896672,62.29,69.64734,4.5
Kaunas,Lithuania,23.9044817,54.8982139,37.58,47.204983,20.2
Klaipėda,Lithuania,21.1350469,55.7127529,36.46,47.646286,20.2
Vilnius,Lithuania,25.2829111,54.6870458,26.51,46.05454,20.2
Luxembourg,Luxembourg,6.129799,49.6112768,30.15,51.827576,8.6
Bukit Mertajam,Malaysia,100.2559077,5.4065013,35.59,73.86379,5.8
Johor Bahru,Malaysia,103.7495586,1.503555,54.07,79.150955,5.8
Klang Municipal Council,Malaysia,101.4447363,3.0448394,62.84,79.5259,5.8
Kuala Lumpur,Malaysia,101.6942371,3.1516964,63.4,80.07816,5.8
Kuching,Malaysia,110.3439862,1.5574127,45.45,78.03223,5.8
Petaling Jaya,Malaysia,101.6450232,3.0991752,52.99,79.76972,5.8
Malé,Maldives,73.5107387,4.1779879,63.89,81.535324,2.8
Aguascalientes,Mexico,-102.2967195,21.880487,33.74,65.84944,5.3
Cancún,Mexico,-86.8510468,21.1617854,55.18,78.94579,5.3
Carmen,Mexico,-100.347995,25.941,49.45,72.258575,5.3
Celaya,Mexico,-98.93052,22.55862,81.8,76.31631,5.3
Guadalajara,Mexico,-103.338396,20.6720375,61.99,68.98438,5.3
Mexico City,Mexico,-99.1331785,19.4326296,68.86,62.185356,5.3
Monterrey,Mexico,-100.315258,25.6802019,47.2,71.15748,5.3
Mérida,Mexico,-89.6237402,20.9670759,24.96,78.849976,5.3
Puebla,Mexico,-98.1981486,19.0437196,60.58,62.236923,5.3
Puerto Vallarta,Mexico,-105.220306,20.6407176,34.43,76.568565,5.3
Querétaro,Mexico,-100.397059,20.5954708,36.74,66.20405,5.3
San Miguel de Allende,Mexico,-100.743784,20.9142238,51.35,65.066734,5.3
Tijuana,Mexico,-117.019529,32.5317397,71.87,63.220184,5.3
Ulaanbaatar,Mongolia,106.9177016,47.9184676,55.34,32.838253,18.0
Podgorica,Montenegro,19.2621081,42.4415238,47.2,60.923553,16.2
Casablanca,Morocco,-7.6200284,33.5945144,55.39,66.04513,7.3
Rabat,Morocco,-6.8340222,34.02236,36.17,65.789154,7.3
Windhoek,Namibia,17.0772739,-22.5776104,68.64,66.85971,13.5
Kathmandu,Nepal,85.3205817,27.708317,37.25,63.779446,9.8
Amsterdam,Netherlands,4.8924534,52.3730796,33.06,52.195736,9.3
Eindhoven,Netherlands,5.478633,51.4392648,24.32,53.45469,9.3
Groningen,Netherlands,6.5680077,53.2190652,20.8,51.30632,9.3
Rotterdam,Netherlands,4.47775,51.9244424,36.16,52.974873,9.3
The Hague,Netherlands,4.2798778,52.0892056,22.26,52.98048,9.3
Utrecht,Netherlands,5.1215634,52.0907006,26.81,52.56704,9.3
Auckland,New Zealand,174.7631803,-36.852095,46.75,61.609695,10.3
Christchurch,New Zealand,172.6364343,-43.530955,41.15,54.65042,10.3
Hamilton,New Zealand,175.281788,-37.7878809,46.57,54.14373,10.3
Wellington,New Zealand,174.7772114,-41.2887953,30.61,57.397358,10.3
Lagos,Nigeria,3.3941795,6.4550575,66.22,80.105675,6.9
Bergen,Norway,5.3259192,60.3943055,27.2,46.369602,9.9
Kristiansand,Norway,7.93185802875815,58.0856276,44.06,48.195686,9.9
Oslo,Norway,10.7389701,59.9133301,34.06,45.614758,9.9
Stavanger,Norway,5.7318101,58.9699675,23.32,47.707653,9.9
Trondheim,Norway,10.3952118,63.4304475,19.41,43.49987,9.9
Muscat,Oman,58.3829448,23.5882019,20.54,84.874725,4.5
Islamabad,Pakistan,73.0651511,33.6938118,29.52,71.45916,9.8
Karachi,Pakistan,67.0207055,24.8546842,54.1,78.60753,9.8
Lahore,Pakistan,74.3141829,31.5656822,35.77,75.726395,9.8
Rawalpindi,Pakistan,73.0535122,33.5914237,48.57,70.80098,9.8
Panama,Panama,-79.5341802,8.9714493,47.16,78.5838,2.9
Port Moresby,Papua New Guinea,147.1599504,-9.4743301,80.71,78.46572,3.6
Asuncion,Paraguay,-57.6343814,-25.2800459,49.29,73.42646,6.2
Lima Metropolitan Area,Peru,-77.0365256,-12.0621065,70.7,63.169273,2.7
Baguio,Philippines,120.593371,16.4119955,37.17,65.18174,2.5
Cebu,Philippines,121.5950704,16.7552303,51.88,77.85414,2.5
Davao City,Philippines,125.6080623,7.0648306,27.75,79.51021,2.5
Makati,Philippines,121.0211226,14.5567949,38.39,81.21943,2.5
Manila,Philippines,120.9799964,14.5906346,64.72,81.38323,2.5
Miagao,Philippines,122.5799456,10.9522168,41.38,79.50281,2.5
Quezon City,Philippines,121.04821,14.6508,60.99,80.58112,2.5
Gdansk,Poland,18.6540233,54.3482907,31.41,49.247303,9.3
Katowice,Poland,19.0215852,50.2598987,41.26,49.71418,9.3
Krakow,Poland,19.987345,50.052652,30.28,49.974068,9.3
Poznań,Poland,16.9335199,52.4082663,30.57,51.110382,9.3
Warsaw,Poland,21.0067249,52.2319581,27.3,49.195156,9.3
Wrocław,Poland,17.0326689,51.1089776,30.87,51.19185,9.3
Łódź,Poland,19.4569911,51.7687323,42.09,48.72294,9.3
Amadora,Portugal,-9.2365233,38.758959,52.98,62.380684,7.2
Lisbon,Portugal,-9.1365919,38.7077507,29.17,63.645824,7.2
Porto,Portugal,-8.6107884,41.1494512,35.35,59.862537,7.2
Doha,Qatar,51.5264162,25.2856329,13.96,82.254456,4.7
Seoul,South Korea,126.9782914,37.5666791,25.38,52.939945,21.2
Chișinau,Moldova,28.8322923,47.0245117,44.74,53.09881,12.2
Brasov,Romania,25.6105654,45.6525105,26.49,49.062355,7.3
Bucharest,Romania,26.1027202,44.4361414,28.25,55.30115,7.3
Cluj-Napoca,Romania,23.5899542,46.769379,22.16,51.032116,7.3
Constanța,Romania,28.6507598,44.1767161,49.32,55.90585,7.3
Craiova,Romania,23.7965614,44.3190159,60.2,56.072346,7.3
Iași,Romania,27.5837814,47.1615598,33.67,53.153885,7.3
Oradea,Romania,21.9285231,47.0549163,19.82,53.854275,7.3
Timișoara,Romania,21.2257474,45.7538355,24.06,54.984943,7.3
Moscow,Russia,37.6174782,55.7505412,37.25,42.902534,21.6
Nizhny Novgorod,Russia,44.0051395,56.3264816,29.23,41.423367,21.6
Novosibirsk,Russia,82.9226887,55.0288307,46.92,36.233902,21.6
Rostov-on-Don,Russia,39.702793,47.236727,52.3,52.624985,21.6
Saint Petersburg,Russia,30.316229,59.938732,39.51,42.60049,21.6
Ufa,Russia,55.947499,54.7261409,51.4,39.87323,21.6
Yekaterinburg,Russia,60.60825,56.839104,47.13,37.185513,21.6
Kigali,Rwanda,30.061507,-1.950851,24.16,66.91197,9.5
Dammam,Saudi Arabia,50.0975,26.44972,30.29,80.64627,5.4
Jeddah,Saudi Arabia,39.1082413,21.6229472,28.95,82.9725,5.4
Riyadh,Saudi Arabia,46.7160104,24.638916,26.31,81.371315,5.4
Belgrade,Serbia,20.4568974,44.8178131,38.01,55.686848,7.9
Novi Sad,Serbia,19.8451756,45.2551338,41.41,56.750813,7.9
Singapore,Singapore,103.8519072,1.2899175,27.22,80.64432,9.7
Bratislava,Slovakia,17.1093063,48.1516988,29.89,53.47842,9.3
Ljubljana,Slovenia,14.5069289,46.0500268,21.48,53.04468,14.0
Bloemfontein,South Africa,26.215496,-29.116395,71.32,61.166477,23.5
Cape Town,South Africa,18.417396,-33.928992,73.13,62.98775,23.5
Durban,South Africa,31.009909,-29.861825,80.6,69.71215,23.5
Gqeberha,South Africa,25.6186512,-33.9618359,76.44,64.66961,23.5
Johannesburg,South Africa,28.049722,-26.205,80.55,59.26572,23.5
Pretoria,South Africa,28.1879101,-25.7459277,81.98,64.3835,23.5
Alicante,Spain,-0.4881708,38.3436365,28.81,67.29658,5.3
Barcelona,Spain,2.1774322,41.3828939,48.87,63.211723,5.3
Bilbao,Spain,-2.9350039,43.2630018,54.42,60.017353,5.3
Madrid,Spain,-3.7035825,40.4167047,30.06,61.041225,5.3
Málaga,Spain,-4.4216366,36.7213028,27.05,67.003746,5.3
Palma,Spain,2.6500745,39.5695818,32.28,66.301445,5.3
San Sebastián,Spain,-1.9838889,43.3224219,14.86,60.340374,5.3
Seville,Spain,-5.9953403,37.3886303,31.59,68.37494,5.3
Valencia,Spain,-0.3763353,39.4697065,27.68,65.34494,5.3
Colombo,Sri Lanka,79.8542005,6.9388614,41.19,79.274765,12.9
Gothenburg,Sweden,11.9670171,57.7072326,47.34,47.98755,12.4
Lund,Sweden,13.1929449,55.7029296,33.96,48.75946,12.4
Malmo,Sweden,13.0001566,55.6052931,56.59,49.945286,12.4
Stockholm,Sweden,18.0710935,59.3251172,45.97,45.976334,12.4
Uppsala,Sweden,17.6387436,59.8586126,40.56,45.31478,12.4
Basel,Switzerland,7.5878261,47.5581077,20.12,54.373795,9.8
Bern,Switzerland,7.4521749,46.9484742,17.94,51.902916,9.8
Geneva,Switzerland,6.1466014,46.2017559,26.61,55.060272,9.8
Lausanne,Switzerland,6.6327025,46.5218269,25.53,54.431507,9.8
Lugano,Switzerland,8.9520281,46.0050102,19.48,58.25622,9.8
Zurich,Switzerland,8.5410422,47.3744489,17.26,52.88798,9.8
Damascus,Syria,36.3095814,33.5130695,67.94,65.86169,2.1
Ankara,Turkey,32.8540497,39.9207759,39.41,54.222805,2.3
Antalya,Turkey,30.7074549,36.8872942,27.03,66.208694,2.3
Bursa,Turkey,29.0675481,40.182737,28.2,57.769455,2.3
Eskisehir,Turkey,30.519116,39.7743941,18.86,52.844654,2.3
Istanbul,Turkey,28.9662187,41.0091982,47.62,58.616978,2.3
Izmir,Turkey,27.1310699,38.4224548,30.94,65.0123,2.3
Bangkok,Thailand,100.4935089,13.7524938,40.98,81.47942,8.0
Chiang Mai,Thailand,98.9858802,18.7882778,23.91,77.687416,8.0
Pattaya City,Thailand,100.8865002,12.9366924,46.45,81.22497,8.0
Port of Spain,Trinidad and Tobago,-61.5180173,10.6572678,76.21,79.90076,8.3
Tunis,Tunisia,10.1857757,36.8002068,47.14,67.97967,3.2
Dnipro,Ukraine,35.0417711,48.4680221,52.31,51.38923,17.7
Kharkiv,Ukraine,36.2310146,49.9923181,48.65,49.09131,17.7
Kyiv,Ukraine,30.5241361,50.4500336,45.69,48.85977,17.7
Lviv,Ukraine,24.0315921,49.841952,38.89,48.493263,17.7
Odesa,Ukraine,30.747007807580182,46.49153835,53.17,54.882484,17.7
Abu Dhabi,United Arab Emirates,54.3774014,24.4538352,11.67,83.55412,5.2
Ajman,United Arab Emirates,55.4451432,25.3936557,15.64,82.253685,5.2
Dubai,United Arab Emirates,55.2924914,25.2653471,16.3,82.465355,5.2
Sharjah,United Arab Emirates,55.4210633,25.3461498,15.69,82.35663,5.2
Aberdeen City,United Kingdom,-2.0928095,57.1482429,33.68,49.17565,6.9
Belfast,United Kingdom,-5.928807,54.603533,44.9,50.911884,6.9
Birmingham,United Kingdom,-1.9026911,52.4796992,62.68,51.2904,6.9
Bradford,United Kingdom,-1.7519186,53.7944229,71.24,50.38415,6.9
Brighton,United Kingdom,-0.1400561,50.8214626,36.49,53.949192,6.9
Bristol,United Kingdom,-2.5972985,51.4538022,41.81,53.045982,6.9
Cambridge,United Kingdom,0.1186637,52.2055314,29.61,53.23572,6.9
Cardiff,United Kingdom,-3.1791934,51.4816546,37.51,53.084686,6.9
City of Edinburgh,United Kingdom,-3.1883749,55.9533456,30.51,50.145805,6.9
Coventry,United Kingdom,-1.510477,52.4081812,68.35,51.8753,6.9
Glasgow,United Kingdom,-4.2501687,55.861155,45.93,49.886856,6.9
Leeds,United Kingdom,-1.5437941,53.7974185,43.34,51.171635,6.9
Liverpool,United Kingdom,-2.99168,53.4071991,48.63,51.887314,6.9
London,United Kingdom,-0.12765,51.5073359,53.29,50.80583,6.9
Manchester,United Kingdom,-2.2451148,53.4794892,55.81,51.27118,6.9
Newcastle upon Tyne,United Kingdom,-1.6131572,54.9738474,39.15,50.325504,6.9
Nottingham,United Kingdom,-1.1496461,52.9534193,51.16,52.011894,6.9
Sheffield,United Kingdom,-1.4702278,53.3806626,43.86,51.399723,6.9
Dar es Salaam,Tanzania,39.2803583,-6.8160837,59.9,78.988594,8.2
Albuquerque,United States,-106.650985,35.0841034,70.93,58.44469,14.5
